product_category,product_full_name,product_header_name,product_description,business_line,matched_categories,product_id,product_price,product_name,vendor_code,llm_validation,llm_confidence,llm_reason,llm_api_time_ms
آش و حلیم,آش رشته آش رشته	,آش رشته,رشته، نخود، لوبیا، عدس، پیاز، نعنا، کشک، ادویه,Restaurant,حلیم و آش,847852,140000,آش رشته	,5331x7,YES,1.0,"The product 'آش رشته' is a type of 'آش' and clearly matches the 'انواع آش' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
آش و حلیم,آش رشته آش رشته	,آش رشته,رشته، نخود، لوبیا، عدس، پیاز، نعنا، کشک، ادویه,Restaurant,حلیم و آش,847852,140000,آش رشته	,5331x7,YES,1.0,"The product 'آش رشته' is a type of 'آش' and clearly matches the 'انواع آش' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
صبحانه,حلیم نیشابوری  یک کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963310,160000,یک کیلوگرم,2z4w92,YES,1.0,"The product 'حلیم نیشابوری' is a type of 'حلیم' and clearly matches the 'انواع حلیم' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
صبحانه,حلیم نیشابوری  1.5 کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963311,240000,1.5 کیلوگرم,2z4w92,YES,1.0,"The product 'حلیم نیشابوری' is a type of 'حلیم' and clearly matches the 'انواع حلیم' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
صبحانه,حلیم نیشابوری  دو کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963312,320000,دو کیلوگرم,2z4w92,YES,1.0,"The product 'حلیم نیشابوری' is a type of 'حلیم' and clearly matches the 'انواع حلیم' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
صبحانه,حلیم نیشابوری  2.5 کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963313,400000,2.5 کیلوگرم,2z4w92,YES,1.0,"The product 'حلیم نیشابوری' is a type of 'حلیم' and clearly matches the 'انواع حلیم' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
صبحانه,حلیم نیشابوری  سه کیلوگرم,حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963314,480000,سه کیلوگرم,2z4w92,YES,1.0,"The product 'حلیم نیشابوری' is a type of 'حلیم' and clearly matches the 'انواع حلیم' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
صبحانه,حلیم نیشابوری  600 گرم (یک پرس),حلیم نیشابوری ,گوشت گوسفندی، گندم، ادویه مخصوص ,Restaurant,حلیم و آش,963315,96000,600 گرم (یک پرس),2z4w92,YES,1.0,"The product 'حلیم نیشابوری' is a type of 'حلیم' and clearly matches the 'انواع حلیم' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
حلیم,حلیم مخصوص یک نفره,حلیم مخصوص,"با تزئین شکر، دارچین، کنجد، در ظرف گیاهی، بدون نان و قاشق	
",Restaurant,حلیم و آش,477182,195500,یک نفره,54gw82,YES,1.0,"The product 'حلیم مخصوص' is a type of 'حلیم' and clearly matches the 'انواع حلیم' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
حلیم,حلیم مخصوص دو نفره,حلیم مخصوص,"با تزئین شکر، دارچین، کنجد، در ظرف گیاهی، بدون نان و قاشق	
",Restaurant,حلیم و آش,477183,295500,دو نفره,54gw82,YES,1.0,"The product 'حلیم مخصوص' is a type of 'حلیم' and clearly matches the 'انواع حلیم' inclusion rule, while not being 'حلیم بادمجان' or 'انواع سوپ'.",18064
