product_category,product_full_name,product_header_name,product_description,business_line,matched_categories,product_id,product_price,product_name,vendor_code
ساندویچ سرد و بمب ژامبون,بمب ژامبون مارتادلا (سرد) ۲۰۰ گرمی,بمب ژامبون مارتادلا (سرد) ۲۰۰ گرمی,200 گرم کالباس مارتادلا مخصوص 55 درصد گوشت، چیپس خلالی، سس مایونز، کاهو، گوجه، خیار شور، 2 عدد نان باگت یا 1 عدد نان سنتی,Restaurant,اسنک و میان وعده,777116,107000,بمب ژامبون مارتادلا (سرد) ۲۰۰ گرمی,23k1m2
منوی پرسی,کتلت بوقلمون پرسی (دو نفره),کتلت بوقلمون پرسی (دو نفره),شش عدد کتلت بوقلمون، گوجه، خیار شور، پیاز جعفری، نان لواش، چیپس خلال، پیاز سرخ شده، سس مخصوص مهندس,Restaurant,اسنک و میان وعده,22348,297000,کتلت بوقلمون پرسی (دو نفره),5xwz32
منوی پرسی,کتلت بوقلمون پرسی (دو نفره),کتلت بوقلمون پرسی (دو نفره),شش عدد کتلت بوقلمون، گوجه، خیار شور، پیاز جعفری، نان لواش، چیپس خلال، پیاز سرخ شده، سس مخصوص مهندس,Restaurant,اسنک و میان وعده,22348,297000,کتلت بوقلمون پرسی (دو نفره),5xwz32
منوی پرسی,کتلت گوساله پرسی (دو نفره),کتلت گوساله پرسی (دو نفره),شش عدد کتلت 60 درصد گوشت گوساله، گوجه، خیارشور، پیاز جعفری، نان لواش، چیپس خلال، سس مخصوص مهندس,Restaurant,اسنک و میان وعده,22349,340000,کتلت گوساله پرسی (دو نفره),5xwz32
منوی پرسی,کتلت گوساله پرسی (دو نفره),کتلت گوساله پرسی (دو نفره),شش عدد کتلت 60 درصد گوشت گوساله، گوجه، خیارشور، پیاز جعفری، نان لواش، چیپس خلال، سس مخصوص مهندس,Restaurant,اسنک و میان وعده,22349,340000,کتلت گوساله پرسی (دو نفره),5xwz32
منوی پرسی,کتلت گوسفندی پرسی (دو نفره),کتلت گوسفندی پرسی (دو نفره),شش عدد کتلت 60 درصد گوشت گوسفند، گوجه، خیارشور، پیاز و جعفری، نان لواش، چیپس خلال، سس مخصوص مهندس,Restaurant,اسنک و میان وعده,22346,470000,کتلت گوسفندی پرسی (دو نفره),5xwz32
منوی پرسی,کتلت گوسفندی پرسی (دو نفره),کتلت گوسفندی پرسی (دو نفره),شش عدد کتلت 60 درصد گوشت گوسفند، گوجه، خیارشور، پیاز و جعفری، نان لواش، چیپس خلال، سس مخصوص مهندس,Restaurant,اسنک و میان وعده,22346,470000,کتلت گوسفندی پرسی (دو نفره),5xwz32
منوی پرسی,کتلت مرغ مهندس پرسی (دو نفره),کتلت مرغ مهندس پرسی (دو نفره),شش عدد کتلت مرغ، گوجه، خیارشور، پیاز و جعفری، نان لواش، چیپس خلال، سس مخصوص مهندس,Restaurant,اسنک و میان وعده,22347,269000,کتلت مرغ مهندس پرسی (دو نفره),5xwz32
منوی پرسی,کتلت مرغ مهندس پرسی (دو نفره),کتلت مرغ مهندس پرسی (دو نفره),شش عدد کتلت مرغ، گوجه، خیارشور، پیاز و جعفری، نان لواش، چیپس خلال، سس مخصوص مهندس,Restaurant,اسنک و میان وعده,22347,269000,کتلت مرغ مهندس پرسی (دو نفره),5xwz32
تنوری ها,رست چیکن تنوری,رست چیکن تنوری,۱۲۰ گرم گوشت رست بیف، ۱۲۰ گرم فیله مرغ طعم دارشده، چیپس و پنیر در نان باگت هات داگی,Restaurant,اسنک و میان وعده,525122,275000,رست چیکن تنوری,5mlmw2
تنوری ها,هات داگ تنوری,هات داگ تنوری,سس مخصوص، هات داگ ۸۰ درصد،  چیپس، پنیر، قارچ,Restaurant,اسنک و میان وعده,189215,260000,هات داگ تنوری,5mlmw2
سمبوسه,سمبوسه ساده,سمبوسه ساده,"یک عدد، سیب زمینی، جعفری، ادویه مخصوص، خمیر یوفکا

",Restaurant,اسنک و میان وعده,1297276,20000,سمبوسه ساده,2n3zx5
کورن داگ,کورن داگ هات نودل,کورن داگ هات نودل,یک عدد هات داگ گوشت روسی 70%، روکش خمیر ذرت، نودل,Restaurant,اسنک و میان وعده,115835,110000,کورن داگ هات نودل,23rmn5
کورن داگ,کورن داگ کراکف کلاسیک,کورن داگ کراکف کلاسیک,نصف کراکف پنیری 80%، روکش خمیر ذرت، آرد سوخاری,Restaurant,اسنک و میان وعده,115836,112000,کورن داگ کراکف کلاسیک,23rmn5
کورن داگ,کورن داگ چیز کورن,کورن داگ چیز کورن,پنیر مورارلا، روکش خمیر ذرت، آرد سوخاری، ذرت,Restaurant,اسنک و میان وعده,115828,128000,کورن داگ چیز کورن,23rmn5
کورن داگ,کورن داگ هات چدار,کورن داگ هات چدار,یک عدد هات داگ گوشت روسی 70%، روکش خمیر ذرت، یک ورق پنیر چدار، هالوپینو,Restaurant,اسنک و میان وعده,115829,107000,کورن داگ هات چدار,23rmn5
کورن داگ,کورن داگ هات چیز,کورن داگ هات چیز,یک عدد هات داگ گوشت روسی 70%، روکش خمیر ذرت، پنیر موزارلا,Restaurant,اسنک و میان وعده,115830,113000,کورن داگ هات چیز,23rmn5
کورن داگ,کورن داگ موزارلا کریسپی,کورن داگ موزارلا کریسپی,روکش خمیر ذرت، پنیر موزارلا کریسپی,Restaurant,اسنک و میان وعده,115831,113000,کورن داگ موزارلا کریسپی,23rmn5
کورن داگ,کورن داگ هات پوتیتو,کورن داگ هات پوتیتو,یک عدد هات داگ گوشت روسی 70%، روکش خمیر ذرت، سیب زمینی سرخ شده کریسپی,Restaurant,اسنک و میان وعده,115832,116000,کورن داگ هات پوتیتو,23rmn5
