product_category,product_full_name,product_header_name,product_description,business_line,matched_categories,product_id,product_price,product_name,vendor_code
سنگک,سنگک سنتی دو رو سبوس دار,سنگک سنتی دو رو سبوس دار,یک عدد,Bakery,نان فانتزی,31008,15000,سنگک سنتی دو رو سبوس دار,5gng82
سایر محصولات نانوایی,نان ساندویچی سنتی,نان ساندویچی سنتی,بسته بندی چهار عددی,Bakery,نان فانتزی,669800,22000,نان ساندویچی سنتی,5gng82
سایر محصولات نانوایی,نان شیرمال,نان شیرمال,یک عدد(۲۸۰ گرم),Bakery,نان فانتزی,669803,20000,نان شیرمال,5gng82
سایر محصولات نانوایی,نان جو ۹۰ درصد,نان جو ۹۰ درصد,۳۰۰ گرم,Bakery,نان فانتزی,669804,15000,نان جو ۹۰ درصد,5gng82
سایر محصولات نانوایی,سبوس گندم,سبوس گندم, ,Bakery,نان فانتزی,669806,25000,سبوس گندم,5gng82
سایر محصولات نانوایی, کیسه پارچه ای کیسه پارچه ای, کیسه پارچه ای,یک عدد,Bakery,نان فانتزی,669808,75000,کیسه پارچه ای,5gng82
سایر محصولات نانوایی,کیسه نخی نان,کیسه نخی نان,یک عدد، کیسه نخی مناسب حمل نان,Bakery,نان فانتزی,31016,50000,کیسه نخی نان,5gng82
سایر محصولات نانوایی,زعفران بجستان,زعفران بجستان, ,Bakery,نان فانتزی,31017,350000,زعفران بجستان,5gng82
بربری,بربری ماشینی کنجدی,بربری ماشینی کنجدی,یک عدد,Bakery,نان فانتزی,669788,10000,بربری ماشینی کنجدی,5gng82
بربری,بربری ماشینی ساده,بربری ماشینی ساده,یک عدد,Bakery,نان فانتزی,669791,7000,بربری ماشینی ساده,5gng82
سنگک,سنگک سنتی سبوس دار,سنگک سنتی سبوس دار,یک عدد، سنگک ساده با آرد کامل تیره  و سبوس اضافه پشت نان,Bakery,نان فانتزی,31009,11000,سنگک سنتی سبوس دار,5gng82
سنگک,سنگک سنتی یک رو کنجد,سنگک سنتی یک رو کنجد,یک عدد، با آرد کامل تیره,Bakery,نان فانتزی,31010,12000,سنگک سنتی یک رو کنجد,5gng82
سنگک,سنگک سنتی پر کنجد,سنگک سنتی پر کنجد,یک عدد,Bakery,نان فانتزی,31011,15000,سنگک سنتی پر کنجد,5gng82
