product_category,product_full_name,product_header_name,product_description,business_line,matched_categories,product_id,product_price,product_name,vendor_code
شیک,شیک نارگیل,شیک نارگیل,360 میلی لیتر,Cafe,اسموتی و شیک,536445,75000,شیک نارگیل,5gggl5
شیک,شیک وانیل ,شیک وانیل ,360 میلی لیتر,Cafe,اسموتی و شیک,536455,70000,شیک وانیل ,5gggl5
شیک,شیک شکلات,شیک شکلات,360 میلی لیتر,Cafe,اسموتی و شیک,147380,110000,شیک شکلات,5gggl5
شیک,شیک موز نوتلا,شیک موز نوتلا, ,Cafe,اسموتی و شیک,899777,120000,شیک موز نوتلا,29g7g2
شیک,شیک آناناس,شیک آناناس, ,Cafe,اسموتی و شیک,899778,120000,شیک آناناس,29g7g2
شیک,شیک اورئو,شیک اورئو, ,Cafe,اسموتی و شیک,899779,120000,شیک اورئو,29g7g2
شیک,شیک اسپرسو,شیک اسپرسو, ,Cafe,اسموتی و شیک,899752,120000,شیک اسپرسو,29g7g2
شیک,شیک m&m,شیک m&m,,Cafe,اسموتی و شیک,982755,120000,شیک m&m,29g7g2
شیک,شیک بادام زمینی,شیک بادام زمینی,۵۰۰ میلی لیتر، شیر، پروتئین وی، کره بادام زمینی,Cafe,اسموتی و شیک,917457,120000,شیک بادام زمینی,2ml6m5
نوشیدنی سرد,اسموتی توت فرنگی,اسموتی توت فرنگی,360 میلی لیتر,Cafe,اسموتی و شیک,793424,150000,اسموتی توت فرنگی,54nrwn
شیک ,شیک بیسکویت,شیک بیسکویت,360 میلی لیتر,Cafe,اسموتی و شیک,787370,155000,شیک بیسکویت,54nrwn
شیک ,شیک اسپرسو,شیک اسپرسو,360 میلی لیتر,Cafe,اسموتی و شیک,787371,160000,شیک اسپرسو,54nrwn
شیک ,شیک شکلات تلخ,شیک شکلات تلخ,360 میلی لیتر,Cafe,اسموتی و شیک,787365,150000,شیک شکلات تلخ,54nrwn
شیک ,شیک شاتوت,شیک شاتوت,360 میلی لیتر,Cafe,اسموتی و شیک,787369,135000,شیک شاتوت,54nrwn
اسموتی,اسموتی سیب,اسموتی سیب,400 میلی لیتر، سیب، یخ، افزودنی های مجاز، ارائه در بطری درب دار,Restaurant,اسموتی و شیک,1261525,150000,اسموتی سیب,54nxx3
گلاسه,موز گلاسه,موز گلاسه,,Ice Cream and Juice Shop,اسموتی و شیک,212253,120000,موز گلاسه,27743m
گلاسه,انبه گلاسه,انبه گلاسه,,Ice Cream and Juice Shop,اسموتی و شیک,212254,120000,انبه گلاسه,27743m
گلاسه,توت فرنگی گلاسه,توت فرنگی گلاسه,,Ice Cream and Juice Shop,اسموتی و شیک,212255,120000,توت فرنگی گلاسه,27743m
گلاسه,شکلات گلاسه,شکلات گلاسه,,Ice Cream and Juice Shop,اسموتی و شیک,212256,130000,شکلات گلاسه,27743m
گلاسه,کافه گلاسه,کافه گلاسه,,Ice Cream and Juice Shop,اسموتی و شیک,212257,120000,کافه گلاسه,27743m
گلاسه,طالبی گلاسه,طالبی گلاسه,,Ice Cream and Juice Shop,اسموتی و شیک,212258,120000,طالبی گلاسه,27743m
گلاسه,نوتلا گلاسه,نوتلا گلاسه,,Ice Cream and Juice Shop,اسموتی و شیک,212259,170000,نوتلا گلاسه,27743m
شیک,شیک موز,شیک موز,,Ice Cream and Juice Shop,اسموتی و شیک,212239,80000,شیک موز,27743m
شیک,شیک شاتوت,شیک شاتوت,,Ice Cream and Juice Shop,اسموتی و شیک,212240,90000,شیک شاتوت,27743m
شیک,شیک وانیل,شیک وانیل,,Ice Cream and Juice Shop,اسموتی و شیک,212241,80000,شیک وانیل,27743m
شیک,شیک شکلات,شیک شکلات,,Ice Cream and Juice Shop,اسموتی و شیک,212242,80000,شیک شکلات,27743m
شیک,شیک نوتلا,شیک نوتلا,,Ice Cream and Juice Shop,اسموتی و شیک,212243,130000,شیک نوتلا,27743m
شیک,شیک بیسکویت,شیک بیسکویت,,Ice Cream and Juice Shop,اسموتی و شیک,212244,75000,شیک بیسکویت,27743m
شیک,شیک نسکافه,شیک نسکافه,,Ice Cream and Juice Shop,اسموتی و شیک,212245,80000,شیک نسکافه,27743m
شیک,شیک توت فرنگی,شیک توت فرنگی,,Ice Cream and Juice Shop,اسموتی و شیک,212236,80000,شیک توت فرنگی,27743m
شیک,شیک طالبی,شیک طالبی,,Ice Cream and Juice Shop,اسموتی و شیک,212237,80000,شیک طالبی,27743m
شیک,شیک انبه,شیک انبه,,Ice Cream and Juice Shop,اسموتی و شیک,212238,80000,شیک انبه,27743m
شیک,شیک لمون چیز,شیک لمون چیز,,Cafe,اسموتی و شیک,371696,140000,شیک لمون چیز,2p8mnz
شیک,شیک لمون چیز,شیک لمون چیز,,Cafe,اسموتی و شیک,371696,140000,شیک لمون چیز,2p8mnz
اسموتی,اسموتی موز آناناس اسموتی موز آناناس	,اسموتی موز آناناس,"ترکیب موز و آناناس، ۳۶۰ میلی لیتر



",Cafe,اسموتی و شیک,413185,200000,اسموتی موز آناناس	,58pmmo
اسموتی,اسموتی موز انبه اسموتی موز انبه	,اسموتی موز انبه,"ترکیب موز و انبه، ۳۶۰ میلی لیتر



",Cafe,اسموتی و شیک,413187,200000,اسموتی موز انبه	,58pmmo
اسموتی,اسموتی استوایی اسموتی استوایی	,اسموتی استوایی,"موز، انبه، آناناس، پشن فروت، ۳۶۰ میلی لیتر



",Cafe,اسموتی و شیک,413190,200000,اسموتی استوایی	,58pmmo
اسموتی,اسموتی میوه های سرخ اسموتی میوه های سرخ	,اسموتی میوه های سرخ,"توت فرنگی، شاتوت، گیلاس، ۳۶۰ میلی لیتر



",Cafe,اسموتی و شیک,413191,200000,اسموتی میوه های سرخ	,58pmmo
اسموتی,اسموتی میوه های ترش اسموتی میوه های ترش	,اسموتی میوه های ترش,"ترکیب میوه های ترش، ۳۶۰ میلی لیتر



",Cafe,اسموتی و شیک,413194,200000,اسموتی میوه های ترش	,58pmmo
اسموتی,اسموتی سیبالو,اسموتی سیبالو,450 میلی لیتر، میکس سیب، آلو و خیار,Restaurant,اسموتی و شیک,1205527,89000,اسموتی سیبالو,2k3n3y
اسموتی,اسموتی سبز 250 میلی لیتر,اسموتی سبز,سیب، کیل، خیار، عسل، لیمو تازه,Restaurant,اسموتی و شیک,241436,55000,250 میلی لیتر,2k3n3y
اسموتی,اسموتی سبز ۴۵۰ میلی لیتر,اسموتی سبز,سیب، کیل، خیار، عسل، لیمو تازه,Restaurant,اسموتی و شیک,241437,79000,۴۵۰ میلی لیتر,2k3n3y
اسموتی,اسموتی قرمز آنتی اکسیدان 450 میلی لیتر,اسموتی قرمز آنتی اکسیدان,آب چغندر قرمز خام، گوجه فرنگی تازه، آبغوره طبیعی,Restaurant,اسموتی و شیک,241438,79000,450 میلی لیتر,2k3n3y
اسموتی,اسموتی قرمز آنتی اکسیدان 250 میلی لیتر,اسموتی قرمز آنتی اکسیدان,آب چغندر قرمز خام، گوجه فرنگی تازه، آبغوره طبیعی,Restaurant,اسموتی و شیک,241439,55000,250 میلی لیتر,2k3n3y
اسموتی,اسموتی زرد سپر دفاعی 450 میلی لیتر,اسموتی زرد سپر دفاعی,آب پرتقال، آب هویج، زنجبیل تازه، موز، زرد چوبه,Restaurant,اسموتی و شیک,241434,135000,450 میلی لیتر,2k3n3y
اسموتی,اسموتی زرد سپر دفاعی 250 میلی لیتر,اسموتی زرد سپر دفاعی,آب پرتقال، آب هویج، زنجبیل تازه، موز، زرد چوبه,Restaurant,اسموتی و شیک,241435,70000,250 میلی لیتر,2k3n3y
نوشیدنی سرد,اسموتی موز انبه,اسموتی موز انبه,400 میلی لیتر، موز، آب انبه،  یخ,Cafe,اسموتی و شیک,1452420,130000,اسموتی موز انبه,5w3k3r
نوشیدنی سرد,اسموتی موز انبه,اسموتی موز انبه,400 میلی لیتر، موز، آب انبه،  یخ,Cafe,اسموتی و شیک,1452420,130000,اسموتی موز انبه,5w3k3r
نوشیدنی سرد,اسموتی موز انبه,اسموتی موز انبه,400 میلی لیتر، موز، آب انبه،  یخ,Cafe,اسموتی و شیک,1452420,130000,اسموتی موز انبه,5w3k3r
نوشیدنی سرد,اسموتی موز انبه,اسموتی موز انبه,400 میلی لیتر، موز، آب انبه،  یخ,Cafe,اسموتی و شیک,1452420,130000,اسموتی موز انبه,5w3k3r
نوشیدنی سرد,اسموتی آناناس توت فرنگی,اسموتی آناناس توت فرنگی,400 میلی لیتر، توت فرنگی، آب آناناس، یخ,Cafe,اسموتی و شیک,1452422,130000,اسموتی آناناس توت فرنگی,5w3k3r
